104 ; 15000.00 ; 30 ; 2 
104 ; 15000.00 ; 30 ; 2 
105 ; 100000.00 ; 200 ; 8 
105 ; 100000.00 ; 200 ; 8 
105 ; 100000.00 ; 200 ; 8 
105 ; 100000.00 ; 200 ; 8 
105 ; 100000.00 ; 200 ; 8 
105 ; 100000.00 ; 200 ; 8 
105 ; 100000.00 ; 200 ; 8 
105 ; 100000.00 ; 200 ; 8 
106 ; 45000.00 ; 75 ; 5 
106 ; 45000.00 ; 75 ; 5 
106 ; 45000.00 ; 75 ; 5 
106 ; 45000.00 ; 75 ; 5 
106 ; 45000.00 ; 75 ; 5 
107 ; 15000.00 ; 15 ; 1 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
108 ; 125000.00 ; 250 ; 10 
109 ; 45000.00 ; 75 ; 5 
109 ; 45000.00 ; 75 ; 5 
109 ; 45000.00 ; 75 ; 5 
109 ; 45000.00 ; 75 ; 5 
109 ; 45000.00 ; 75 ; 5 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
110 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
111 ; 125000.00 ; 225 ; 9 
112 ; 30000.00 ; 45 ; 3 
112 ; 30000.00 ; 45 ; 3 
112 ; 30000.00 ; 45 ; 3 
113 ; 45000.00 ; 75 ; 5 
113 ; 45000.00 ; 75 ; 5 
113 ; 45000.00 ; 75 ; 5 
113 ; 45000.00 ; 75 ; 5 
113 ; 45000.00 ; 75 ; 5 
114 ; 75000.00 ; 150 ; 6 
114 ; 75000.00 ; 150 ; 6 
114 ; 75000.00 ; 150 ; 6 
114 ; 75000.00 ; 150 ; 6 
114 ; 75000.00 ; 150 ; 6 
114 ; 75000.00 ; 150 ; 6 
